hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
1003,1,1,1,1,1,1,287,20934,264,20898,9,1,38,558.0,40,600,0,0,"[1-9]","[9-1]"
1019,1,1,1,1,1,1,45,25143,165,23041,9,3,26,383.0,34,500,0,0,"[1-9]","[9-1]"
1019,1,1,2,2,1,1,45,25143,134,23283,62,3,35,518.0,38,560,0,0,"[1-62]","[62-1]"
1022,1,2,1,1,2,1,28,23632,164,23042,8,2,62,919.0,70,1037,1,0,"[1-5-8]","[8-1]"
1027,2,1,1,1,3,1,67,25061,174,25163,5,14,46,690.0,48,718,1,0,"[1-72-5]","[5-1]"
1027,2,1,2,2,3,1,67,25061,67,25061,9,14,49,735.0,50,748,0,0,"[1-9]","[9-1]"
1029,2,1,1,1,1,1,53,24192,95,23174,15,1,27,404.0,36,537,0,1,"[1-15]","[15-15-1]"
1048,2,1,1,1,1,1,395,21940,117,22133,72,1,29,425.0,33,482,0,0,"[1-72]","[72-1]"
1049,2,1,1,1,2,1,104,23229,101,22333,72,1,37,542.0,38,569,0,0,"[1-72]","[72-1]"
1051,1,1,1,1,1,1,222,20154,221,20375,72,14,46,681.0,49,724,0,0,"[1-72]","[72-1]"
1078,1,1,1,1,1,1,200,22361,195,22321,72,1,35,525.0,38,567,0,0,"[1-72]","[72-1]"
1081,2,1,1,1,1,1,352,26140,200,22253,15,1,32,472.0,39,574,0,0,"[1-15]","[15-1]"
1083,1,1,1,1,4,0,269,20688,270,20632,5,14,36,536.0,39,579,0,0,"[1-5]","[5-1]"
1083,1,1,2,2,4,0,269,20688,277,20906,72,14,40,596.0,44,654,0,0,"[1-72]","[72-1]"
1085,2,1,1,1,2,1,200,22316,18,22250,72,14,35,521.0,40,594,0,0,"[1-72]","[72-1]"
1090,1,2,1,1,3,1,43,24548,17,23643,42,3,34,507.0,34,504,0,0,"[1-42]","[42-1]"
1099,2,2,1,1,1,1,184,23343,67,25061,72,6,35,519.0,45,666,0,0,"[1-72]","[72-1]"
1106,1,1,1,1,3,1,303,25040,28,23632,15,1,50,750.0,57,853,0,0,"[1-15]","[15-1]"
1116,1,1,1,1,1,1,7,23761,66,25124,72,1,34,497.0,40,599,0,0,"[1-72]","[72-1]"
1116,1,1,2,2,1,1,7,23761,67,25061,9,1,49,722.0,49,734,0,0,"[1-9]","[9-1]"
1116,2,2,1,1,1,1,276,20926,251,20401,73,1,68,1007.0,68,1019,0,0,"[1-73]","[73-1]"
1116,2,2,2,2,1,1,276,20926,250,20498,8,1,77,1142.0,78,1169,0,0,"[1-8]","[8-1]"
1125,2,1,1,1,2,1,150,22212,150,22126,15,1,35,523.0,47,700,0,0,"[1-15]","[15-1]"
1126,1,1,1,1,1,1,8,23867,36,24313,61,1,46,690.0,47,703,0,0,"[1-61]","[61-1]"
1140,1,1,1,1,1,1,184,23323,67,25061,5,1,38,563.0,43,635,0,0,"[1-5]","[5-1]"
1151,1,1,1,1,1,1,103,22334,120,22094,72,3,35,512.0,39,585,0,0,"[1-72]","[72-1]"
1164,1,1,1,1,1,1,110,23526,66,25124,72,2,34,507.0,38,564,0,0,"[1-72]","[72-1]"
1177,1,1,1,1,2,1,37,24160,67,25061,72,1,40,591.0,45,663,0,0,"[1-72]","[72-1]"
1184,2,1,1,1,2,1,139,22876,134,23208,62,2,34,509.0,35,522,0,0,"[1-62]","[62-1]"
1190,1,2,1,1,4,0,1,23769,92,23753,61,14,29,427.0,34,499,0,0,"[1-61]","[61-1]"
1195,5,1,1,1,1,1,5,23906,67,24954,72,1,30,447.0,38,565,0,0,"[1-72]","[72-1]"
1200,2,1,1,1,1,1,18,22250,18,22250,5,14,34,505.0,37,548,0,1,"[1-5]","[5-5-1]"
1210,1,2,1,1,5,0,138,23257,134,23208,62,5,90,1347.0,94,1404,0,0,"[1-62]","[62-1]"
1211,1,1,1,1,1,1,28,23632,29,23126,61,1,48,707.0,54,809,0,1,"[1-61]","[61-72-1]"
1225,1,1,1,1,1,1,41,22132,145,22113,5,1,34,497.0,40,600,0,0,"[1-5]","[5-1]"
1254,1,1,1,1,1,1,116,22752,144,22988,72,1,35,522.0,46,685,0,0,"[1-72]","[72-1]"
1264,6,1,1,1,1,1,200,22265,186,23464,9,1,41,613.0,43,641,0,0,"[1-9]","[9-1]"
1264,6,2,1,2,1,1,200,22265,165,23039,8,1,75,1123.0,76,1136,0,0,"[1-8]","[8-1]"
1266,1,1,1,1,1,1,206,22387,18,22250,61,1,36,538.0,38,566,0,0,"[1-61]","[61-1]"
1266,1,1,2,2,1,1,206,22387,147,22458,62,1,39,583.0,40,596,0,0,"[1-62]","[62-1]"
1273,2,1,1,1,3,1,180,23585,174,25163,72,3,41,602.0,43,645,0,0,"[1-72]","[72-1]"
1276,1,1,1,1,1,1,135,23718,96,23492,15,1,25,370.0,54,802,0,0,"[1-15]","[15-1]"
1280,2,1,1,1,6,0,134,23208,186,23464,72,14,37,544.0,40,587,0,0,"[1-72]","[72-1]"
1283,2,1,1,1,4,0,8,23869,186,23534,72,14,39,577.0,44,649,0,0,"[1-72]","[72-1]"
1287,1,1,1,1,1,1,134,23283,186,23441,72,14,33,495.0,38,568,0,0,"[1-72]","[72-1]"
1295,1,1,1,1,1,1,139,22981,92,23756,61,1,31,453.0,32,466,0,0,"[1-61]","[61-1]"
1296,2,1,1,1,2,1,84,24696,100,22658,72,2,41,608.0,45,666,0,0,"[1-72]","[72-1]"
1298,1,1,1,1,1,1,186,23534,186,23464,72,14,25,364.0,31,452,0,0,"[1-72]","[72-1]"
1300,1,1,1,1,1,1,71,25623,66,25124,72,1,36,534.0,40,592,0,0,"[1-72]","[72-1]"
1304,2,1,1,1,1,1,276,20919,259,20537,72,1,36,539.0,38,566,0,0,"[1-72]","[72-1]"
1311,2,1,1,1,1,1,64,25485,64,25485,15,1,32,467.0,35,525,0,0,"[1-15]","[15-1]"
1315,2,1,1,1,5,0,4,23952,67,25061,72,6,38,559.0,41,602,0,0,"[1-72]","[72-1]"
1328,3,1,1,1,5,0,193,22267,117,22133,72,14,36,535.0,36,532,0,0,"[1-72]","[72-1]"
1329,2,1,1,1,1,1,145,22113,148,22266,9,1,50,738.0,50,750,0,0,"[1-9]","[9-1]"
1335,1,1,1,1,5,0,67,25059,134,23208,62,5,24,348.0,30,450,0,1,"[1-62]","[62-9-1]"
1335,2,1,1,1,3,1,147,22458,18,22250,72,14,34,498.0,40,600,0,0,"[1-72]","[72-1]"
1347,1,2,1,1,1,1,146,22284,18,22270,62,1,61,915.0,65,972,0,0,"[1-62]","[62-1]"
1349,2,1,1,1,2,1,187,23654,185,23445,5,14,54,801.0,58,859,0,0,"[1-5]","[5-1]"
1350,1,1,1,1,1,1,336,26609,332,26540,9,1,40,589.0,42,617,0,0,"[1-9]","[9-1]"
1366,2,1,1,1,1,1,43,24544,67,25061,72,1,36,528.0,40,586,0,0,"[1-72]","[72-1]"
1368,2,1,1,1,2,1,6,23796,67,25061,72,2,29,425.0,31,452,0,0,"[1-72]","[72-1]"
1381,1,1,1,1,1,1,83,24105,59,24558,62,1,23,341.0,30,443,0,0,"[1-62]","[62-1]"
1383,1,1,1,1,1,1,14,23661,67,25061,72,1,35,520.0,39,577,0,0,"[1-72]","[72-1]"
1387,2,1,1,1,4,0,63,25122,174,25163,5,14,54,802.0,56,829,0,0,"[1-5]","[5-1]"
1389,3,1,1,1,3,1,95,23116,94,23540,15,1,36,539.0,36,536,0,0,"[1-15]","[15-1]"
1390,1,1,1,1,1,1,167,24603,39,24568,72,1,25,362.0,28,420,0,0,"[1-72]","[72-1]"
1391,1,1,1,1,1,1,61,24818,174,25163,5,1,34,508.0,36,536,0,0,"[1-5]","[5-1]"
1396,2,1,1,1,1,1,103,22755,101,22333,62,1,37,549.0,41,607,0,0,"[1-62]","[62-1]"
1396,4,2,1,1,1,1,67,25058,67,25058,72,14,39,579.0,43,637,0,0,"[1-72]","[72-1]"
1396,4,2,2,2,1,1,67,25058,67,25058,9,14,48,714.0,50,742,0,0,"[1-9]","[9-1]"
1412,1,1,1,1,3,1,193,22267,207,22179,5,1,50,744.0,54,801,0,1,"[1-5]","[5-72-1]"
1412,1,1,2,2,3,1,193,22267,141,22414,61,2,55,819.0,58,861,0,2,"[1-61]","[61-9-42-1]"
1414,1,1,1,1,1,1,214,21063,207,22179,72,2,30,443.0,39,575,0,0,"[1-72]","[72-1]"
1420,2,1,1,1,1,1,196,21984,18,22250,5,1,34,509.0,35,522,0,0,"[1-5]","[5-1]"
1447,1,1,1,1,3,1,220,20448,219,20205,5,1,36,532.0,41,604,0,1,"[1-5]","[5-72-1]"
1453,1,1,1,1,1,1,145,22113,18,22270,72,1,36,529.0,40,586,0,0,"[1-72]","[72-1]"
1457,2,1,1,1,1,1,134,23155,92,23756,61,1,27,395.0,29,422,0,0,"[1-61]","[61-1]"
1472,1,2,1,1,1,1,150,22217,134,23208,8,1,52,766.0,55,823,0,0,"[1-8]","[8-1]"
1475,2,1,1,1,1,1,134,23283,92,23756,61,1,19,274.0,22,317,0,1,"[1-61]","[61-8-1]"
1477,3,1,1,1,1,1,202,22115,18,22250,72,1,33,484.0,38,556,0,0,"[1-72]","[72-1]"
1480,2,1,1,1,1,1,231,21157,159,21621,72,1,22,325.0,51,758,0,1,"[1-72]","[72-15-1]"
1481,1,1,1,1,2,1,221,20375,219,20205,8,14,39,583.0,45,671,0,0,"[1-8]","[8-1]"
1481,1,1,2,2,2,1,221,20375,221,20376,9,14,49,733.0,53,791,1,0,"[1-5-9]","[9-1]"
1483,1,1,1,1,1,1,52,25489,134,23208,62,1,33,490.0,35,517,0,0,"[1-62]","[62-1]"
1490,1,1,1,1,4,0,196,21863,18,22250,5,4,35,524.0,37,552,0,0,"[1-5]","[5-1]"
1525,1,1,1,1,1,1,84,24690,66,25060,72,1,33,494.0,37,552,0,0,"[1-72]","[72-1]"
1526,2,1,1,1,1,1,390,24939,59,24621,72,4,33,482.0,36,540,0,0,"[1-72]","[72-1]"
1527,1,2,1,1,14,0,255,20429,250,20498,8,14,52,775.0,57,848,0,0,"[1-8]","[8-1]"
1527,1,2,2,2,14,0,255,20429,266,20584,73,14,67,1000.0,67,998,0,0,"[1-73]","[73-1]"
1531,2,1,1,1,1,1,262,20351,266,20628,15,1,22,326.0,39,579,0,0,"[1-15]","[15-1]"
1533,1,1,1,1,3,1,200,22261,200,22290,72,14,37,553.0,42,626,0,0,"[1-72]","[72-1]"
1535,1,1,1,1,1,1,98,23368,18,22250,5,3,36,539.0,40,597,0,0,"[1-5]","[5-1]"
1535,1,1,2,2,1,1,98,23368,92,23756,61,1,42,629.0,44,657,0,0,"[1-61]","[61-1]"
1538,1,1,1,1,1,1,200,22386,18,22250,5,1,36,539.0,37,552,0,2,"[1-5]","[5-61-61-1]"
1548,1,1,1,1,1,1,265,20861,261,20223,61,1,34,506.0,37,549,0,0,"[1-61]","[61-1]"
1548,1,1,2,2,1,1,265,20861,279,20764,61,14,39,581.0,39,579,0,0,"[1-61]","[61-1]"
1549,2,1,1,1,2,1,265,20616,266,20584,72,14,35,512.0,35,524,0,0,"[1-72]","[72-1]"
1555,3,1,1,1,1,1,263,20695,266,20627,9,1,27,404.0,31,462,0,0,"[1-9]","[9-1]"
1555,3,1,2,2,1,1,263,20695,266,20584,72,14,41,614.0,45,672,0,0,"[1-72]","[72-1]"
1556,1,1,1,1,1,1,106,22352,106,22352,5,1,25,362.0,34,510,0,0,"[1-5]","[5-1]"
1563,2,1,1,1,1,1,277,20907,270,20588,72,1,30,439.0,36,527,0,0,"[1-72]","[72-1]"
1566,1,1,1,1,1,1,266,20584,274,20837,9,14,47,693.0,48,720,0,0,"[1-9]","[9-1]"
1566,1,2,1,2,1,1,266,20584,260,20567,62,14,68,1008.0,74,1110,0,0,"[1-62]","[62-1]"
1576,1,1,1,1,1,1,274,20850,266,20584,72,14,34,510.0,41,612,0,0,"[1-72]","[72-1]"
1576,3,1,1,1,1,1,277,20906,277,20906,5,14,48,720.0,49,732,0,1,"[1-5]","[5-72-1]"
1585,1,1,1,1,2,1,46,25128,67,25061,72,2,39,582.0,41,610,0,0,"[1-72]","[72-1]"
1601,1,1,1,1,1,1,267,20720,273,20727,5,14,25,362.0,31,464,0,0,"[1-5]","[5-1]"
1613,1,1,1,1,1,1,159,21621,194,22474,72,1,37,542.0,43,644,0,0,"[1-72]","[72-1]"
1614,1,1,1,1,3,1,159,21621,200,22234,72,1,14,203.0,33,486,1,0,"[1-15-72]","[72-1]"
1618,2,1,1,1,1,1,286,21018,280,20768,9,1,26,380.0,26,377,0,0,"[1-9]","[9-1]"
1620,1,1,1,1,2,1,206,22363,194,22474,72,14,39,579.0,41,607,0,0,"[1-72]","[72-1]"
1622,4,2,1,1,1,1,18,22250,200,22290,72,14,34,501.0,35,513,0,0,"[1-72]","[72-1]"
1636,2,1,1,1,3,1,167,24667,66,25124,72,2,34,506.0,35,519,0,0,"[1-72]","[72-1]"
1637,1,1,1,1,3,1,196,22023,18,22250,72,4,39,583.0,44,655,0,0,"[1-72]","[72-1]"
1639,2,1,1,1,1,1,134,23208,2,23861,72,14,34,501.0,41,604,0,0,"[1-72]","[72-1]"
1640,2,1,1,1,2,1,17,23643,17,23643,72,14,29,425.0,40,587,0,0,"[1-72]","[72-1]"
1645,2,2,1,1,1,1,36,24313,145,22113,72,3,34,510.0,40,597,0,0,"[1-72]","[72-1]"
1650,2,2,1,1,1,1,99,23363,108,23287,5,1,34,504.0,40,591,0,0,"[1-5]","[5-1]"
1654,1,1,1,1,1,1,52,25402,67,25061,72,1,41,604.0,45,662,0,0,"[1-72]","[72-1]"
1657,1,1,1,1,1,1,45,25403,66,25124,72,2,35,515.0,39,573,0,0,"[1-72]","[72-1]"
1665,1,1,1,1,2,1,186,23464,186,23441,15,1,40,597.0,58,865,0,0,"[1-15]","[15-1]"
1666,1,1,1,1,1,1,255,20489,266,20584,72,14,40,594.0,46,682,0,0,"[1-72]","[72-1]"
1673,1,1,1,1,1,1,36,24436,195,22321,72,3,38,568.0,41,611,0,0,"[1-72]","[72-1]"
1674,2,1,1,1,3,1,338,26608,336,26645,15,1,35,521.0,36,534,0,0,"[1-15]","[15-1]"
1692,2,1,1,1,1,1,174,25163,61,24818,72,3,37,543.0,38,556,0,0,"[1-72]","[72-1]"
1692,2,1,2,2,1,1,174,25163,57,24306,61,1,39,573.0,47,691,0,0,"[1-61]","[61-1]"
1698,2,1,1,1,2,1,52,25439,67,25061,72,2,32,472.0,37,544,0,0,"[1-72]","[72-1]"
1711,1,1,1,1,1,1,83,24105,100,22658,61,1,38,558.0,50,736,0,0,"[1-61]","[61-1]"
1715,1,1,1,1,1,1,330,26489,330,26579,15,1,37,543.0,41,601,0,1,"[1-15]","[15-15-1]"
1735,1,1,1,1,14,0,333,26719,331,26528,9,14,34,499.0,36,527,0,0,"[1-9]","[9-1]"
1739,1,1,1,1,14,0,377,26771,376,26843,72,14,34,505.0,38,563,0,0,"[1-72]","[72-1]"
1752,1,1,1,1,1,1,46,25128,57,24306,61,1,31,461.0,40,594,0,1,"[1-61]","[61-61-1]"
1755,2,1,1,1,1,1,172,25193,67,24955,72,14,34,497.0,38,569,1,0,"[1-5-72]","[72-1]"
1760,1,1,1,1,1,1,334,26671,376,26844,72,1,41,607.0,45,664,0,0,"[1-72]","[72-1]"
1760,2,1,1,1,1,1,167,24667,66,25124,72,1,36,532.0,41,604,0,0,"[1-72]","[72-1]"
1762,1,1,1,1,1,1,95,23174,66,25124,72,1,32,469.0,36,527,0,0,"[1-72]","[72-1]"
1764,4,2,1,1,15,0,338,26541,376,26844,72,4,38,563.0,40,590,0,0,"[1-72]","[72-1]"
1786,2,1,1,1,3,1,66,25124,66,25124,72,14,39,582.0,42,625,0,0,"[1-72]","[72-1]"
1790,1,1,1,1,1,1,342,26552,338,26610,72,1,39,581.0,45,668,0,0,"[1-72]","[72-1]"
1795,1,1,1,1,3,1,18,22250,18,22250,72,14,49,724.0,54,797,0,0,"[1-72]","[72-1]"
1795,3,1,1,1,4,0,59,24677,67,25058,72,14,36,529.0,40,587,0,0,"[1-72]","[72-1]"
1806,2,1,1,1,3,1,59,24620,66,25124,72,14,40,586.0,42,629,0,0,"[1-72]","[72-1]"
1815,1,1,1,1,1,1,207,22179,206,22363,5,1,37,545.0,39,573,0,0,"[1-5]","[5-1]"
1833,1,1,1,1,1,1,7,23761,67,25061,9,1,27,405.0,33,492,0,0,"[1-9]","[9-1]"
1834,1,1,1,1,1,1,65,25346,174,25197,5,1,37,544.0,41,601,0,1,"[1-5]","[5-8-1]"
1845,1,1,1,1,1,1,43,24547,18,22250,72,1,35,523.0,45,671,0,0,"[1-72]","[72-1]"
1846,1,2,1,1,1,1,39,24568,67,25061,72,2,39,578.0,42,620,0,0,"[1-72]","[72-1]"
1848,1,1,1,1,4,0,140,22533,200,22265,72,4,31,460.0,34,502,0,0,"[1-72]","[72-1]"
1854,1,1,1,1,1,1,55,24065,200,22234,72,2,36,534.0,39,576,0,0,"[1-72]","[72-1]"
1854,1,1,2,2,1,1,55,24065,200,22234,9,1,40,594.0,46,681,0,0,"[1-9]","[9-1]"
1860,1,1,1,1,1,1,39,24826,17,23643,5,1,39,583.0,42,626,0,0,"[1-5]","[5-1]"
1874,2,1,1,1,1,1,140,22571,18,22288,5,1,33,484.0,37,542,0,0,"[1-5]","[5-1]"
1876,2,1,1,1,1,1,366,25811,174,25163,72,1,21,304.0,25,362,0,0,"[1-72]","[72-1]"
1882,2,1,1,1,2,1,358,26241,66,25124,72,2,42,629.0,50,746,0,0,"[1-72]","[72-1]"
1888,2,1,1,1,2,1,59,24621,174,25163,72,1,36,526.0,38,568,0,0,"[1-72]","[72-1]"
1893,1,1,1,1,4,0,98,23368,385,23268,61,4,40,592.0,48,710,0,0,"[1-61]","[61-1]"
1894,1,1,1,1,1,1,370,25908,67,25061,72,4,36,535.0,44,652,0,0,"[1-72]","[72-1]"
1899,1,1,1,1,2,1,79,24358,67,25058,72,1,38,560.0,40,588,0,0,"[1-72]","[72-1]"
1906,2,1,1,1,1,1,59,24621,17,23643,5,1,33,493.0,37,550,0,0,"[1-5]","[5-1]"
1914,4,1,1,1,1,1,379,21649,18,22250,5,1,35,524.0,41,611,0,1,"[1-5]","[5-61-1]"
1914,4,1,2,2,1,1,379,21649,200,22234,72,2,42,629.0,46,686,0,0,"[1-72]","[72-1]"
1919,1,1,1,1,1,1,7,23794,186,23441,72,14,34,510.0,36,537,0,0,"[1-72]","[72-1]"
1930,1,1,1,1,4,0,395,21846,117,22133,72,4,32,472.0,35,515,0,0,"[1-72]","[72-1]"
1936,2,1,1,1,1,1,184,23343,134,23283,8,14,56,838.0,66,986,0,0,"[1-8]","[8-1]"
1936,2,1,2,2,1,1,184,23343,186,23464,5,14,69,1033.0,69,1031,0,0,"[1-5]","[5-1]"
1937,2,1,1,1,1,1,147,22458,134,23208,62,1,40,590.0,41,603,0,0,"[1-62]","[62-1]"
1937,2,1,2,2,1,1,147,22458,200,22234,72,14,53,785.0,59,873,0,0,"[1-72]","[72-1]"
1939,2,1,1,1,1,1,108,23352,182,23716,61,1,33,488.0,38,560,0,0,"[1-61]","[61-1]"
1939,2,1,2,2,1,1,108,23352,165,23032,9,1,39,578.0,43,635,1,2,"[1-5-9]","[9-61-8-1]"
1954,1,2,1,1,2,1,100,22658,119,22330,73,14,40,593.0,51,755,0,0,"[1-73]","[73-1]"
1971,2,1,1,1,3,1,167,24667,206,22394,61,1,36,535.0,41,607,0,0,"[1-61]","[61-1]"
1975,1,1,1,1,1,1,393,22506,101,22333,72,1,39,571.0,44,658,0,0,"[1-72]","[72-1]"
1987,1,1,1,1,1,1,331,26528,376,26844,72,3,48,708.0,51,765,0,0,"[1-72]","[72-1]"
1987,2,1,1,1,1,1,115,22553,200,22290,72,1,40,588.0,43,645,0,0,"[1-72]","[72-1]"
1994,1,2,1,1,1,1,393,22506,126,21657,9,1,50,746.0,55,819,0,0,"[1-9]","[9-1]"
2000,2,1,1,1,1,1,186,23441,66,25124,72,1,35,519.0,36,532,0,0,"[1-72]","[72-1]"
2000,2,1,2,2,1,1,186,23441,67,25061,9,1,37,549.0,52,772,0,0,"[1-9]","[9-1]"
2002,2,1,1,1,1,1,61,24772,59,24558,62,1,35,522.0,37,550,0,0,"[1-62]","[62-1]"
2005,2,1,1,1,1,1,44,25321,66,25124,72,1,35,521.0,41,609,0,0,"[1-72]","[72-1]"
2006,1,1,1,1,1,1,19,23637,147,22458,5,1,45,663.0,46,676,0,0,"[1-5]","[5-1]"
2014,2,1,1,1,1,1,87,25067,101,22333,62,1,39,580.0,41,607,0,0,"[1-62]","[62-1]"
2026,2,1,1,1,1,1,184,23323,200,22261,72,1,34,502.0,37,544,0,0,"[1-72]","[72-1]"
2039,1,1,1,1,2,1,18,22270,18,22250,5,14,35,513.0,37,541,0,0,"[1-5]","[5-1]"
2039,2,1,1,1,1,1,43,24278,17,23643,72,2,34,498.0,35,511,1,0,"[1-5-72]","[72-1]"
2047,3,2,1,1,1,1,100,22658,100,22658,72,14,47,696.0,50,739,0,0,"[1-72]","[72-1]"
2050,2,1,1,1,3,1,29,23126,29,23126,72,14,37,549.0,43,637,0,0,"[1-72]","[72-1]"
2054,2,1,1,1,1,1,191,22781,186,23441,72,1,38,561.0,41,604,0,0,"[1-72]","[72-1]"
2060,2,1,1,1,1,1,287,20954,276,20919,72,14,36,540.0,43,643,0,0,"[1-72]","[72-1]"
2084,2,2,1,1,1,1,28,23632,16,23376,8,1,40,593.0,42,621,0,0,"[1-8]","[8-1]"
2090,2,1,1,1,14,0,262,20351,279,20591,9,14,39,571.0,40,599,0,1,"[1-9]","[9-72-1]"
2090,2,2,1,2,14,0,262,20351,252,20324,8,14,57,841.0,59,884,0,0,"[1-8]","[8-1]"
2094,1,1,1,1,1,1,77,23920,66,25124,72,3,32,476.0,37,548,1,1,"[1-8-72]","[72-9-1]"
2094,4,1,1,1,1,1,184,23343,66,25124,61,1,41,611.0,43,638,0,0,"[1-61]","[61-1]"
